label,link
AWS S3,https://docs.aws.amazon.com/pt_br/AmazonS3/latest/userguide/Welcome.html
AWS RDS,https://docs.aws.amazon.com/pt_br/AmazonRDS/latest/UserGuide/Welcome.html
AWS OpenSearch,https://docs.aws.amazon.com/pt_br/opensearch-service/latest/developerguide/gsg.html
Apache Airflow,https://airflow.apache.org/docs/apache-airflow/stable/tutorial/index.html
Apache Airflow,https://www.sparkcodehub.com/apache-airflow-tutorial
Pandas,https://www.datacamp.com/pt/tutorial/pandas
Pandas,https://harve.com.br/blog/programacao-python-blog/pandas-python-vantagens-e-como-comecar/
Pandas,https://pandas.pydata.org/docs/user_guide/10min.html
Pandas,https://medium.com/@dev.daniel.amorim/python-pandas-24ab58577de5
Pandas,https://www.learndatasci.com/tutorials/python-pandas-tutorial-complete-introduction-for-beginners/
Pandas,https://www.w3schools.com/python/pandas/default.asp
Banco de Dados orientados à Chave Valor com Redis,https://apidog.com/pt/blog/redis-tutorial-for-beginners/
Banco de Dados orientados à Chave Valor com Redis,https://www.w3resource.com/redis/index.php
Banco de Dados orientados à Chave Valor com Redis,https://www.tutorialspoint.com/redis/index.htm
Atlas_mongodb,https://www.mongodb.com/pt-br/docs/manual/data-modeling/
Atlas_mongodb,https://medium.com/mongodb-tutorial/introduction-to-mongodb-and-nosql-databases-ec0ab1097e7c
Atlas_mongodb,https://www.mongodb.com/pt-br/docs/atlas/getting-started/
Atlas_mongodb,https://www.mongodb.com/pt-br/docs/manual/tutorial/getting-started/
Atlas_mongodb,https://www.mongodb.com/pt-br/docs/manual/core/crud/
Atlas_mongodb,https://www.mongodb.com/pt-br/docs/manual/aggregation/
Atlas_mongodb,https://www.tutorialspoint.com/mongodb/index.htm
Atlas_mongodb,https://www.geeksforgeeks.org/mongodb-tutorial/
Atlas_mongodb,https://www.geeksforgeeks.org/mongodb-aggregation-lookup/
Cassandra,https://www.simplilearn.com/tutorials/big-data-tutorial/cassandra-data-model
Cassandra,https://www.instaclustr.com/blog/cassandra-data-modeling/
Cassandra,https://cassandra.apache.org//quickstart.html
Cassandra,https://www.tutorialspoint.com/cassandra/index.htm
Cassandra,https://www.guru99.com/pt/cassandra-tutorial.html
Cassandra,https://cassandra.apache.org/doc/stable/cassandra/getting_started/index.html
Apache HBase,https://www.tutorialspoint.com/hbase/index.htm
Apache HBase,https://medium.com/hands-on-apache-hbase/an-introduction-to-apache-hbase-2cdd1d9ff13
Apache HBase,https://www.guru99.com/pt/hbase-tutorials.html
Apache HBase,https://eecs.csuohio.edu/~sschung/cis612/HBaseTutorial.pdf
Apache HBase,https://www.cloudduggu.com/hbase/
Formatos de arquivos colunares: Parquet e ORC,https://www.upsolver.com/blog/the-file-format-fundamentals-of-big-data
Formatos de arquivos colunares: Parquet e ORC,https://medium.com/@ganeshnv0/avro-parquet-and-orc-file-format-comparison-ff776d375c7e
Formatos de arquivos colunares: Parquet e ORC,https://medium.com/rescuepoint/tipos-de-dados-em-bigdata-6ab0debec30a
Formatos de arquivos colunares: Parquet e ORC,https://www.linkedin.com/pulse/comparative-analysis-avro-parquet-orc-understanding-differences-bose/
Formatos de arquivos colunares: Parquet e ORC,https://www.snowflake.com/trending/avro-vs-parquet/
Formatos de arquivos colunares: Parquet e ORC,https://www.starburst.io/data-glossary/open-file-formats/
Formatos de arquivos colunares: Parquet e ORC,https://blog.det.life/choosing-the-right-big-data-file-format-avro-vs-parquet-vs-orc-c868ffbe5a4e
Formatos de arquivos colunares: Parquet e ORC,https://learncsdesigns.medium.com/understanding-apache-parquet-d722645cfe74
Formatos de arquivos colunares: Parquet e ORC,https://arrow.apache.org/docs/python/parquet.html
Formatos de arquivos colunares: Parquet e ORC,https://arrow.apache.org/docs/python/orc.html
Conceitos básicos_arquiteturas de dados e tecnologias para Data Lakehouse,https://medium.com/data-hackers/lakehouse-unindo-o-data-lake-e-o-data-warehouse-1428be2dda21
Conceitos básicos_arquiteturas de dados e tecnologias para Data Lakehouse,https://medium.com/@edilsonathaydejunior/lakehouse-a-solu%C3%A7%C3%A3o-inovadora-para-o-futuro-dos-dados-cd96f4c19255
Conceitos básicos_arquiteturas de dados e tecnologias para Data Lakehouse,https://www.researchgate.net/publication/382912985_Analise_da_relevancia_da_arquitetura_de_implementacao_de_Delta_Lake_para_banco_de_dados_empresariais
Conceitos básicos_arquiteturas de dados e tecnologias para Data Lakehouse,https://repositorio.unifesp.br/server/api/core/bitstreams/e02fb1d5-7ce9-463e-9254-894ddfd632c0/content
Conceitos básicos_arquiteturas de dados e tecnologias para Data Lakehouse,https://www.databricks.com/br/blog/2020/01/30/what-is-a-data-lakehouse.html
Conceitos básicos_arquiteturas de dados e tecnologias para Data Lakehouse,https://www.databricks.com/br/glossary/medallion-architecture
Conceitos básicos_arquiteturas de dados e tecnologias para Data Lakehouse,https://www.dataside.com.br/dataside-community/big-data/afinal-o-que-e-a-arquitetura-medalhao
Conceitos básicos_arquiteturas de dados e tecnologias para Data Lakehouse,https://learn.microsoft.com/pt-br/azure/databricks/lakehouse/medallion
Conceitos básicos_arquiteturas de dados e tecnologias para Data Lakehouse,https://learn.microsoft.com/pt-br/azure/databricks/lakehouse/
Conceitos básicos_arquiteturas de dados e tecnologias para Data Lakehouse,https://cloud.google.com/discover/what-is-a-data-lakehouse?hl=pt-BR
Conceitos básicos_arquiteturas de dados e tecnologias para Data Lakehouse,https://learn.microsoft.com/pt-br/fabric/data-engineering/lakehouse-overview
Conceitos básicos_arquiteturas de dados e tecnologias para Data Lakehouse,https://www.ibm.com/br-pt/topics/data-lakehouse
Conceitos básicos_arquiteturas de dados e tecnologias para Data Lakehouse,https://learn.microsoft.com/pt-br/fabric/data-engineering/tutorial-build-lakehouse
Conceitos básicos_arquiteturas de dados e tecnologias para Data Lakehouse,https://learn.microsoft.com/pt-br/fabric/data-engineering/lakehouse-overview
Conceitos básicos_arquiteturas de dados e tecnologias para Data Lakehouse,https://learn.microsoft.com/pt-br/fabric/data-engineering/tutorial-lakehouse-introduction
Conceitos básicos_arquiteturas de dados e tecnologias para Data Lakehouse,https://eskelsen.medium.com/uma-jornada-na-constru%C3%A7%C3%A3o-de-um-data-lakehouse-2cf610c71359
Conceitos básicos_arquiteturas de dados e tecnologias para Data Lakehouse,https://eskelsen.medium.com/uma-jornada-na-constru%C3%A7%C3%A3o-de-um-data-lakehouse-parte-2-arquitetura-c2999c0a344d
Conceitos básicos_arquiteturas de dados e tecnologias para Data Lakehouse,https://eskelsen.medium.com/uma-jornada-na-constru%C3%A7%C3%A3o-de-um-data-lakehouse-parte-3-ingest%C3%A3o-de-dados-com-cdc-e-debezium-4aa1adb02f28
